LAV,LAVQ,LAT,LATQ,Father,Mother,Sibling,Granchild,Granparent,Other relative,Non-relative,LAI
60,Child+Partner+Sibling+Grandaparent,51,With partner and children extended,0,0,3,0,5,0,0,510030500
124,Child+Partner+Sibling+Grandaparent+Grandchild,51,With partner and children extended,0,0,3,4,5,0,0,510034500
252,Child+Partner+Sibling+Grandaparent+Grandchild+Other relative,51,With partner and children extended,0,0,3,4,5,6,0,510034560
188,Child+Partner+Sibling+Grandaparent+Other relative,51,With partner and children extended,0,0,3,0,5,6,0,510030560
92,Child+Partner+Sibling+Grandchild,51,With partner and children extended,0,0,3,4,0,0,0,510034000
220,Child+Partner+Sibling+Grandchild+Other relative,51,With partner and children extended,0,0,3,4,0,6,0,510034060
156,Child+Partner+Sibling+Other relative,51,With partner and children extended,0,0,3,0,0,6,0,510030060
13,Father+Child+Partner,51,With partner and children extended,1,0,0,0,0,0,0,511000000
45,Father+Child+Partner+Grandaparent,51,With partner and children extended,1,0,0,0,5,0,0,511000500
109,Father+Child+Partner+Grandaparent+Grandchild,51,With partner and children extended,1,0,0,4,5,0,0,511004500
237,Father+Child+Partner+Grandaparent+Grandchild+Other relative,51,With partner and children extended,1,0,0,4,5,6,0,511004560
173,Father+Child+Partner+Grandaparent+Other relative,51,With partner and children extended,1,0,0,0,5,6,0,511000560
77,Father+Child+Partner+Grandchild,51,With partner and children extended,1,0,0,4,0,0,0,511004000
205,Father+Child+Partner+Grandchild+Other relative,51,With partner and children extended,1,0,0,4,0,6,0,511004060
141,Father+Child+Partner+Other relative,51,With partner and children extended,1,0,0,0,0,6,0,511000060
29,Father+Child+Partner+Sibling,51,With partner and children extended,1,0,3,0,0,0,0,511030000
61,Father+Child+Partner+Sibling+Grandaparent,51,With partner and children extended,1,0,3,0,5,0,0,511030500
125,Father+Child+Partner+Sibling+Grandaparent+Grandchild,51,With partner and children extended,1,0,3,4,5,0,0,511034500
253,Father+Child+Partner+Sibling+Grandaparent+Grandchild+Other relative,51,With partner and children extended,1,0,3,4,5,6,0,511034560
